Group,Observed Prior,Ideal Prior,Deviation
Male-East Asian,0.013553687512874604,0.07142857142857142,0.05787488391569682
Male-Indian,0.054755629539489745,0.07142857142857142,0.01667294188908168
Male-Black,0.08282497310638427,0.07142857142857142,0.011396401677812848
Male-White,0.22072472858428954,0.07142857142857142,0.14929615715571812
Male-Middle Eastern,0.015564023196697235,0.07142857142857142,0.055864548231874187
Male-Latino_Hispanic,0.09762562489509582,0.07142857142857142,0.0261970534665244
Male-Southeast Asian,0.00711333617568016,0.07142857142857142,0.06431523525289126
Female-East Asian,0.009304764330387115,0.07142857142857142,0.06212380709818431
Female-Indian,0.01584347975254059,0.07142857142857142,0.05558509167603083
Female-Black,0.08130898141860962,0.07142857142857142,0.009880409990038197
Female-White,0.3401540069580078,0.07142857142857142,0.2687254355294364
Female-Middle Eastern,0.009922133624553681,0.07142857142857142,0.061506437804017745
Female-Latino_Hispanic,0.04587335896492004,0.07142857142857142,0.025555212463651382
Female-Southeast Asian,0.005431267470121384,0.07142857142857142,0.06599730395845003
