Group,Observed Prior,Ideal Prior,Deviation
Male-East Asian,0.004548315986990929,0.07142857142857142,0.0668802554415805
Male-Indian,0.01133412715792656,0.07142857142857142,0.060094444270644864
Male-Black,0.1930845694541931,0.07142857142857142,0.12165599802562169
Male-White,0.38451318264007567,0.07142857142857142,0.3130846112115042
Male-Middle Eastern,0.007687887370586395,0.07142857142857142,0.06374068405798503
Male-Latino_Hispanic,0.02528016698360443,0.07142857142857142,0.046148404444967
Male-Southeast Asian,0.002359293721616268,0.07142857142857142,0.06906927770695516
Female-East Asian,0.0009510859772562981,0.07142857142857142,0.07047748545131513
Female-Indian,0.0028730144053697587,0.07142857142857142,0.06855555702320167
Female-Black,0.16585595083236696,0.07142857142857142,0.09442737940379553
Female-White,0.16892625331878663,0.07142857142857142,0.09749768189021521
Female-Middle Eastern,0.017067156970500947,0.07142857142857142,0.05436141445807048
Female-Latino_Hispanic,0.014832174122333527,0.07142857142857142,0.056596397306237896
Female-Southeast Asian,0.0006868183389306068,0.07142857142857142,0.07074175308964081
