Group,Observed Prior,Ideal Prior,Deviation
Male-East Asian,0.01465226000547409,0.07142857142857142,0.05677631142309733
Male-Indian,0.029628564834594726,0.07142857142857142,0.0418000065939767
Male-Black,0.0673688941001892,0.07142857142857142,0.004059677328382222
Male-White,0.07713549232482911,0.07142857142857142,0.005706920896257683
Male-Middle Eastern,0.04297910559177399,0.07142857142857142,0.028449465836797437
Male-Latino_Hispanic,0.09136759567260742,0.07142857142857142,0.019939024244036
Male-Southeast Asian,0.025018612325191498,0.07142857142857142,0.04640995910337993
Female-East Asian,0.0398499675989151,0.07142857142857142,0.031578603829656327
Female-Indian,0.0700604407787323,0.07142857142857142,0.0013681306498391221
Female-Black,0.20509591674804686,0.07142857142857142,0.13366734531947544
Female-White,0.12139657735824586,0.07142857142857142,0.04996800592967443
Female-Middle Eastern,0.06752564764022827,0.07142857142857142,0.0039029237883431572
Female-Latino_Hispanic,0.07788501167297364,0.07142857142857142,0.0064564402444022145
Female-Southeast Asian,0.0700359148979187,0.07142857142857142,0.0013926565306527222
