Group,Observed Prior,Ideal Prior,Deviation
Male-East Asian,0.012084362596273423,0.07142857142857142,0.059344208832298004
Male-Indian,0.04555300772190094,0.07142857142857142,0.025875563706670483
Male-Black,0.09407037162780761,0.07142857142857142,0.022641800199236187
Male-White,0.2396862564086914,0.07142857142857142,0.16825768498011998
Male-Middle Eastern,0.011828807801008225,0.07142857142857142,0.059599763627563196
Male-Latino_Hispanic,0.06042381691932678,0.07142857142857142,0.011004754509244645
Male-Southeast Asian,0.007069504648447036,0.07142857142857142,0.06435906678012439
Female-East Asian,0.008331803530454636,0.07142857142857142,0.06309676789811679
Female-Indian,0.014129496991634368,0.07142857142857142,0.057299074436937054
Female-Black,0.10019464206695557,0.07142857142857142,0.028766070638384142
Female-White,0.36118278694152833,0.07142857142857142,0.2897542155129569
Female-Middle Eastern,0.00772129961848259,0.07142857142857142,0.06370727181008884
Female-Latino_Hispanic,0.03185351121425629,0.07142857142857142,0.03957506021431514
Female-Southeast Asian,0.005870330184698105,0.07142857142857142,0.06555824124387331
