Group,Observed Prior,Ideal Prior,Deviation
Male-East Asian,0.0033911905288696287,0.07142857142857142,0.0680373808997018
Male-Indian,0.029469385862350463,0.07142857142857142,0.04195918556622096
Male-Black,0.11718268823623658,0.07142857142857142,0.045754116807665154
Male-White,0.24435256004333497,0.07142857142857142,0.17292398861476355
Male-Middle Eastern,0.002277618333697319,0.07142857142857142,0.06915095309487411
Male-Latino_Hispanic,0.07476879239082336,0.07142857142857142,0.0033402209622519358
Male-Southeast Asian,0.0026063333600759506,0.07142857142857142,0.06882223806849547
Female-East Asian,0.005098904177546501,0.07142857142857142,0.06632966725102492
Female-Indian,0.01142141330242157,0.07142857142857142,0.06000715812614985
Female-Black,0.14919147205352784,0.07142857142857142,0.07776290062495642
Female-White,0.31919384956359864,0.07142857142857142,0.24776527813502722
Female-Middle Eastern,0.002403430759906769,0.07142857142857142,0.06902514066866465
Female-Latino_Hispanic,0.03228898215293884,0.07142857142857142,0.03913958927563258
Female-Southeast Asian,0.006353376090526581,0.07142857142857142,0.06507519533804484
